gene	prior_stat	score	score_percentile	tier	verdict	flag	flag_reason	y
GENE000	0.896904	0.0	11.3	T1	INTERMEDIATE	True	insufficient_data	0
GENE001	0.0182529	0.8791322666044714	92.0	T5	ROBUST	True	insufficient_data	1
GENE002	0.00393242	0.27999999999999997	62.7	T4	ROBUST	True	insufficient_data	1
GENE003	0.0326311	0.4134529118866858	70.0	T4	ROBUST	True	insufficient_data	1
GENE004	0.569457	0.11552788293515201	53.3	T3	INTERMEDIATE	False		0
GENE005	0.826131	0.037761055898153	34.7	T2	INTERMEDIATE	False		0
GENE006	0.532628	0.0	11.3	T1	INTERMEDIATE	False		0
GENE007	0.813431	0.0	11.3	T1	INTERMEDIATE	False		0
GENE008	0.997013	0.0	11.3	T1	INTERMEDIATE	False		0
GENE009	0.351204	0.0	11.3	T1	INTERMEDIATE	False		0
GENE010	0.17185	0.05	40.7	T2	INTERMEDIATE	True	recurrent_variant	0
GENE011	0.0214893	0.7175414623574934	84.0	T5	ROBUST	True	recurrent_variant	1
GENE012	0.753297	0.04444444444444444	37.3	T2	INTERMEDIATE	True	recurrent_variant	0
GENE013	0.0488231	0.96	96.0	T5	ROBUST	True	recurrent_variant	1
GENE014	0.588792	0.028654039625235894	33.3	T2	INTERMEDIATE	False		0
GENE015	0.0154436	0.5380952380952382	75.7	T4	ROBUST	False		1
GENE016	0.726397	0.0	11.3	T1	INTERMEDIATE	False		0
GENE017	0.280802	0.6188021269094727	78.0	T4	ROBUST	False		0
GENE018	0.0440655	0.9714285714285715	97.7	T5	ROBUST	False		1
GENE019	0.863087	0.016666666666666666	26.7	T2	INTERMEDIATE	False		0
GENE020	0.0172154	0.5380952380952382	75.7	T4	ROBUST	True	common_driver	1
GENE021	0.0497459	0.13	54.3	T3	INTERMEDIATE	True	common_driver	1
GENE022	0.898925	0.09400875938152159	48.7	T3	INTERMEDIATE	True	common_driver	0
GENE023	0.0869264	0.0738095238095238	46.0	T3	INTERMEDIATE	False		0
GENE024	0.696458	0.16999999999999998	57.3	T3	INTERMEDIATE	False		0
GENE025	0.328654	0.18	59.7	T3	INTERMEDIATE	False		0
GENE026	0.176234	0.0	11.3	T1	INTERMEDIATE	False		0
GENE027	0.675124	0.06444444444444444	44.0	T3	INTERMEDIATE	False		0
GENE028	0.363459	0.0	11.3	T1	INTERMEDIATE	False		0
GENE029	0.330566	0.02678716599029806	32.0	T2	INTERMEDIATE	False		0
GENE030	0.943734	0.10666666666666666	52.0	T3	INTERMEDIATE	False		0
GENE031	0.200099	0.0	11.3	T1	INTERMEDIATE	False		0
GENE032	0.00706319	0.8333333333333333	90.7	T5	ROBUST	False		1
GENE033	0.0249892	0.7400077258618416	85.3	T5	ROBUST	False		0
GENE034	0.164205	0.0	11.3	T1	INTERMEDIATE	False		0
GENE035	0.883535	0.07378612369206825	45.3	T3	INTERMEDIATE	False		0
GENE036	0.789458	0.18	59.7	T3	INTERMEDIATE	False		0
GENE037	0.557279	0.38666666666666666	68.0	T4	ROBUST	False		0
GENE038	0.223231	0.029905939444497855	34.0	T2	INTERMEDIATE	False		0
GENE039	0.55819	0.23119643470680912	62.0	T4	ROBUST	False		0
GENE040	0.0131344	0.1399178005546277	55.3	T3	INTERMEDIATE	False		0
GENE041	0.713281	0.10444444444444445	51.3	T3	INTERMEDIATE	False		0
GENE042	0.717034	0.04365075598667708	36.7	T2	INTERMEDIATE	False		0
GENE043	0.646399	0.0	11.3	T1	INTERMEDIATE	False		0
GENE044	0.611727	0.0	11.3	T1	INTERMEDIATE	False		0
GENE045	0.0746427	0.05	40.7	T2	INTERMEDIATE	False		0
GENE046	0.000321438	0.7428571428571429	86.3	T5	ROBUST	False		1
GENE047	0.574804	0.0	11.3	T1	INTERMEDIATE	False		0
GENE048	0.0489133	0.8251997483091443	90.0	T5	ROBUST	False		1
GENE049	0.992031	0.1615827742930477	56.7	T3	INTERMEDIATE	False		0
GENE050	0.923822	0.016323537637524383	25.0	T2	INTERMEDIATE	False		0
GENE051	0.0093762	0.2974437235465223	64.7	T4	ROBUST	False		1
GENE052	0.590371	0.0	11.3	T1	INTERMEDIATE	False		0
GENE053	0.00975617	0.7428571428571429	86.3	T5	ROBUST	False		1
GENE054	0.137407	0.9519032108642941	94.3	T5	ROBUST	False		0
GENE055	0.0301124	0.0	11.3	T1	INTERMEDIATE	False		1
GENE056	0.716202	0.17333333333333334	58.7	T3	INTERMEDIATE	False		0
GENE057	0.901207	0.5095238095238095	74.7	T4	ROBUST	False		0
GENE058	0.0249991	0.04460143675370254	38.0	T2	INTERMEDIATE	False		1
GENE059	0.0372051	0.420018435292459	71.3	T4	ROBUST	False		1
GENE060	0.82197	0.01493975717686338	23.7	T2	INTERMEDIATE	False		0
GENE061	0.0194039	0.6151257635548947	77.3	T4	ROBUST	False		1
GENE062	0.00314571	0.31990224135948975	65.3	T4	ROBUST	False		1
GENE063	0.256894	0.0	11.3	T1	INTERMEDIATE	False		0
GENE064	0.00438931	1.0	99.3	T5	ROBUST	False		1
GENE065	0.0188735	0.20666666666666664	61.3	T4	ROBUST	False		0
GENE066	0.0436763	0.9714285714285715	97.7	T5	ROBUST	False		1
GENE067	0.191919	0.0	11.3	T1	INTERMEDIATE	False		0
GENE068	0.975557	0.0	11.3	T1	INTERMEDIATE	False		0
GENE069	0.0382961	0.016666666666666666	26.7	T2	INTERMEDIATE	False		1
GENE070	0.452637	0.1	50.3	T3	INTERMEDIATE	False		0
GENE071	0.395265	0.0	11.3	T1	INTERMEDIATE	False		0
GENE072	0.233079	0.02	29.7	T2	INTERMEDIATE	False		0
GENE073	0.749007	0.33888299212266587	66.7	T4	ROBUST	False		0
GENE074	0.644061	0.1456397011854681	56.0	T3	INTERMEDIATE	False		0
GENE075	0.726032	0.04	35.7	T2	INTERMEDIATE	False		0
GENE076	0.0837258	0.6277777777777778	78.7	T4	ROBUST	False		0
GENE077	0.353391	0.7747002625807624	88.7	T5	ROBUST	False		0
GENE078	0.520313	0.021291325267017117	30.7	T2	INTERMEDIATE	False		0
GENE079	0.427294	0.006631844188988411	22.7	T2	INTERMEDIATE	False		0
