gene	minp
GENE000	0.896904
GENE001	0.0182529
GENE002	0.00393242
GENE003	0.0326311
GENE004	0.569457
GENE005	0.826131
GENE006	0.532628
GENE007	0.813431
GENE008	0.997013
GENE009	0.351204
GENE010	0.17185
GENE011	0.0214893
GENE012	0.753297
GENE013	0.0488231
GENE014	0.588792
GENE015	0.0154436
GENE016	0.726397
GENE017	0.280802
GENE018	0.0440655
GENE019	0.863087
GENE020	0.0172154
GENE021	0.0497459
GENE022	0.898925
GENE023	0.0869264
GENE024	0.696458
GENE025	0.328654
GENE026	0.176234
GENE027	0.675124
GENE028	0.363459
GENE029	0.330566
GENE030	0.943734
GENE031	0.200099
GENE032	0.00706319
GENE033	0.0249892
GENE034	0.164205
GENE035	0.883535
GENE036	0.789458
GENE037	0.557279
GENE038	0.223231
GENE039	0.55819
GENE040	0.0131344
GENE041	0.713281
GENE042	0.717034
GENE043	0.646399
GENE044	0.611727
GENE045	0.0746427
GENE046	0.000321438
GENE047	0.574804
GENE048	0.0489133
GENE049	0.992031
GENE050	0.923822
GENE051	0.0093762
GENE052	0.590371
GENE053	0.00975617
GENE054	0.137407
GENE055	0.0301124
GENE056	0.716202
GENE057	0.901207
GENE058	0.0249991
GENE059	0.0372051
GENE060	0.82197
GENE061	0.0194039
GENE062	0.00314571
GENE063	0.256894
GENE064	0.00438931
GENE065	0.0188735
GENE066	0.0436763
GENE067	0.191919
GENE068	0.975557
GENE069	0.0382961
GENE070	0.452637
GENE071	0.395265
GENE072	0.233079
GENE073	0.749007
GENE074	0.644061
GENE075	0.726032
GENE076	0.0837258
GENE077	0.353391
GENE078	0.520313
GENE079	0.427294
GENE080	0.0415769
GENE081	0.194833
GENE082	0.94508
GENE083	0.163407
GENE084	0.8522
GENE085	0.822315
GENE086	0.391902
GENE087	0.467317
GENE088	0.0244428
GENE089	0.681006
GENE090	0.837107
GENE091	0.757839
GENE092	0.0400461
GENE093	0.913061
GENE094	0.822984
GENE095	0.179884
GENE096	0.0327564
GENE097	0.0875946
GENE098	0.42643
GENE099	0.397355
GENE100	0.202966
GENE101	0.016278
GENE102	0.0956819
GENE103	0.00589452
GENE104	0.0242773
GENE105	0.990754
GENE106	0.26543
GENE107	0.830864
GENE108	0.0354212
GENE109	0.586792
GENE110	0.958451
GENE111	0.016115
GENE112	0.980527
GENE113	0.0112672
GENE114	0.983351
GENE115	0.83721
GENE116	0.77847
GENE117	0.00563157
GENE118	0.63186
GENE119	1.60342e-05
GENE120	0.528754
GENE121	0.227274
GENE122	0.777767
GENE123	0.170908
GENE124	0.0410553
GENE125	0.0490914
GENE126	0.672231
GENE127	0.0212059
GENE128	0.0489845
GENE129	0.0486992
GENE130	0.414542
GENE131	0.614587
GENE132	0.694291
GENE133	0.585894
GENE134	0.0431894
GENE135	0.520505
GENE136	0.463405
GENE137	0.287482
GENE138	0.229923
GENE139	0.695607
GENE140	0.696016
GENE141	0.196287
GENE142	0.971866
GENE143	0.0214276
GENE144	0.531685
GENE145	0.841334
GENE146	0.00613541
GENE147	0.476469
GENE148	0.259016
GENE149	0.156979
