gene	minp	n_case_var	conc	driver_af
GENE000	0.896904	2	0.145414	4.53343e-05
GENE001	0.0182529	0	0.395064	6.67747e-07
GENE002	0.00393242	0	0.137404	3.01859e-05
GENE003	0.0326311	1	0.036853	4.86613e-06
GENE004	0.569457	8	0.341633	4.36252e-05
GENE005	0.826131	26	0.399635	4.80124e-05
GENE006	0.532628	29	0.320884	1.70768e-06
GENE007	0.813431	36	0.172422	6.66307e-06
GENE008	0.997013	38	0.279887	4.16381e-05
GENE009	0.351204	13	0.01076	3.43443e-05
GENE010	0.17185	24	0.636114	0.000552896
GENE011	0.0214893	18	0.948742	0.000121751
GENE012	0.753297	22	0.828949	0.000292064
GENE013	0.0488231	23	0.761625	0.000879751
GENE014	0.588792	26	0.0824319	4.93368e-07
GENE015	0.0154436	16	0.190004	3.91907e-05
GENE016	0.726397	12	0.00650384	1.92001e-05
GENE017	0.280802	19	0.413881	5.33266e-06
GENE018	0.0440655	37	0.248122	2.73417e-05
GENE019	0.863087	25	0.217959	1.84981e-05
GENE020	0.0172154	31	0.300897	0.00248619
GENE021	0.0497459	4	0.425014	0.00285021
GENE022	0.898925	6	0.14563	0.00543846
GENE023	0.0869264	15	0.133758	2.69915e-05
GENE024	0.696458	3	0.0247471	3.04954e-05
GENE025	0.328654	3	0.1332	4.11071e-06
GENE026	0.176234	24	0.0331059	3.18189e-05
GENE027	0.675124	20	0.0207792	4.20611e-05
GENE028	0.363459	20	0.276365	1.43392e-05
GENE029	0.330566	25	0.0919174	2.60665e-05
GENE030	0.943734	33	0.0371289	4.5306e-05
GENE031	0.200099	6	0.458357	3.5148e-05
GENE032	0.00706319	30	0.0743669	1.03361e-05
GENE033	0.0249892	11	0.0474154	4.83246e-05
GENE034	0.164205	28	0.485339	1.71038e-05
GENE035	0.883535	32	0.333483	4.12101e-05
GENE036	0.789458	39	0.362877	2.26259e-05
GENE037	0.557279	34	0.281602	3.94884e-05
GENE038	0.223231	27	0.0351949	4.60461e-05
GENE039	0.55819	17	0.420939	4.51362e-05
GENE040	0.0131344	14	0.209015	4.02301e-05
GENE041	0.713281	33	0.196234	1.61486e-05
GENE042	0.717034	9	0.0676546	4.56315e-05
GENE043	0.646399	13	0.0566099	7.66699e-06
GENE044	0.611727	13	0.261123	1.30097e-05
GENE045	0.0746427	29	0.284372	3.23177e-05
GENE046	0.000321438	39	0.259343	3.74091e-05
GENE047	0.574804	23	0.306562	2.51681e-06
GENE048	0.0489133	35	0.438822	1.34432e-05
GENE049	0.992031	19	0.252102	1.84517e-05
GENE050	0.923822	35	0.189574	4.23623e-05
GENE051	0.0093762	27	0.128286	9.58679e-08
GENE052	0.590371	32	0.153423	4.44998e-05
GENE053	0.00975617	3	0.280404	1.67365e-05
GENE054	0.137407	35	0.397686	3.08287e-05
GENE055	0.0301124	9	0.220561	4.6788e-05
GENE056	0.716202	15	0.0203812	3.07993e-06
GENE057	0.901207	13	0.0940773	2.72627e-05
GENE058	0.0249991	34	0.0453261	1.11109e-05
GENE059	0.0372051	28	0.166672	3.51124e-05
GENE060	0.82197	9	0.342188	4.08909e-05
GENE061	0.0194039	29	0.295357	1.23125e-05
GENE062	0.00314571	13	0.331064	4.29947e-05
GENE063	0.256894	28	0.227298	8.87067e-06
GENE064	0.00438931	23	0.0548903	2.40036e-05
GENE065	0.0188735	31	0.148128	6.56413e-06
GENE066	0.0436763	36	0.25548	1.53758e-05
GENE067	0.191919	5	0.248582	1.87063e-05
GENE068	0.975557	27	0.121831	3.47633e-05
GENE069	0.0382961	6	0.412651	1.58425e-05
GENE070	0.452637	37	0.216657	2.64828e-05
GENE071	0.395265	34	0.422728	3.2566e-05
GENE072	0.233079	38	0.132746	3.92868e-05
GENE073	0.749007	16	0.47097	1.46769e-05
GENE074	0.644061	25	0.0559287	2.81747e-06
GENE075	0.726032	24	0.384591	1.18526e-05
GENE076	0.0837258	5	0.0100932	2.72973e-05
GENE077	0.353391	21	0.11816	4.38839e-05
GENE078	0.520313	22	0.435277	3.28772e-05
GENE079	0.427294	26	0.175052	3.03639e-05
GENE080	0.0415769	12	0.46624	1.58862e-06
GENE081	0.194833	5	0.464709	2.49018e-05
GENE082	0.94508	3	0.400096	1.65451e-05
GENE083	0.163407	31	0.198053	1.73708e-05
GENE084	0.8522	29	0.429134	4.79694e-05
GENE085	0.822315	7	0.228552	8.17337e-06
GENE086	0.391902	36	0.0630861	4.41839e-06
GENE087	0.467317	28	0.425979	1.52545e-05
GENE088	0.0244428	10	0.408123	3.21349e-05
GENE089	0.681006	17	0.0677827	1.34804e-05
GENE090	0.837107	38	0.433263	3.5291e-05
GENE091	0.757839	21	0.259482	3.47546e-05
GENE092	0.0400461	3	0.371795	2.19097e-05
GENE093	0.913061	27	0.134088	4.1735e-05
GENE094	0.822984	38	0.107731	1.61892e-05
GENE095	0.179884	16	0.424156	3.11597e-05
GENE096	0.0327564	34	0.300107	2.70011e-05
GENE097	0.0875946	4	0.0738527	3.58471e-06
GENE098	0.42643	5	0.182935	1.73613e-05
GENE099	0.397355	38	0.429518	2.81569e-05
GENE100	0.202966	15	0.234142	4.88029e-05
GENE101	0.016278	22	0.168426	3.91826e-05
GENE102	0.0956819	12	0.170477	2.40453e-05
GENE103	0.00589452	30	0.412322	9.82352e-06
GENE104	0.0242773	17	0.22715	1.34981e-05
GENE105	0.990754	22	0.474177	2.1212e-06
GENE106	0.26543	37	0.1561	2.9079e-05
GENE107	0.830864	33	0.37824	2.12115e-05
GENE108	0.0354212	39	0.142853	3.29271e-05
GENE109	0.586792	23	0.383919	2.65731e-05
GENE110	0.958451	4	0.00879899	2.08392e-05
GENE111	0.016115	7	0.0649105	1.76013e-05
GENE112	0.980527	13	0.129628	2.03111e-06
GENE113	0.0112672	26	0.435046	4.91484e-05
GENE114	0.983351	37	0.161249	3.75986e-06
GENE115	0.83721	9	0.241763	1.2733e-06
GENE116	0.77847	7	0.0535223	1.07651e-05
GENE117	0.00563157	33	0.283339	6.80931e-06
GENE118	0.63186	24	0.0479973	3.97216e-05
GENE119	1.60342e-05	28	0.0708012	7.58148e-06
GENE120	0.528754	14	0.400486	1.69975e-05
GENE121	0.227274	37	0.121955	6.62419e-07
GENE122	0.777767	26	0.0306269	4.65785e-05
GENE123	0.170908	26	0.300912	1.6052e-05
GENE124	0.0410553	33	0.0732501	4.21439e-05
GENE125	0.0490914	11	0.0264084	4.80967e-05
GENE126	0.672231	28	0.415276	3.63726e-05
GENE127	0.0212059	23	0.198591	1.30371e-05
GENE128	0.0489845	21	0.432738	2.46073e-05
GENE129	0.0486992	31	0.372016	3.91326e-05
GENE130	0.414542	13	0.100482	3.49323e-05
GENE131	0.614587	29	0.0424056	4.13786e-05
GENE132	0.694291	32	0.0856786	2.72287e-05
GENE133	0.585894	15	0.24729	3.28751e-05
GENE134	0.0431894	11	0.178874	1.81598e-05
GENE135	0.520505	27	0.415991	9.57031e-06
GENE136	0.463405	12	0.23462	3.4862e-05
GENE137	0.287482	37	0.277375	1.44117e-07
GENE138	0.229923	6	0.193726	3.9194e-05
GENE139	0.695607	28	0.37745	3.61661e-07
GENE140	0.696016	19	0.34447	3.084e-05
GENE141	0.196287	16	0.342886	2.97307e-05
GENE142	0.971866	23	0.385797	5.27562e-06
GENE143	0.0214276	36	0.199303	2.96101e-05
GENE144	0.531685	8	0.0595429	3.78924e-05
GENE145	0.841334	33	0.408967	2.67996e-05
GENE146	0.00613541	18	0.172761	3.3638e-05
GENE147	0.476469	34	0.345881	3.54336e-05
