gene	mis_z	pli
GENE000	0.449504	0.115279
GENE001	1.63594	1
GENE002	1.46188	0.406599
GENE003	2.1997	0.582843
GENE004	0.648436	0.420878
GENE005	0.770104	0.378369
GENE006	-0.323918	0.118965
GENE007	0.0639143	0.426958
GENE008	0.33779	0.623617
GENE009	-0.0106453	0.377463
GENE010	0.180981	0.708499
GENE011	1.25566	0.630922
GENE012	0.506546	0.143825
GENE013	0.939035	1
GENE014	-0.20988	0.668728
GENE015	0.503011	0.829371
GENE016	-0.535039	0.136767
GENE017	0.703471	0.663684
GENE018	0.949287	1
GENE019	0.472167	0.163943
GENE020	0.221582	1
GENE021	-0.162901	0.755637
GENE022	-0.629455	0.915119
GENE023	0.687976	0.75154
GENE024	0.640846	0.273731
GENE025	0.199223	0.938026
GENE026	-0.481302	0.0252328
GENE027	-0.0784816	0.184824
GENE028	-0.178656	0.241903
GENE029	-0.206984	0.73208
GENE030	-1.50364	0.526168
GENE031	-0.514756	0.464375
GENE032	0.885935	0.622533
GENE033	0.909857	0.756467
GENE034	0.0964458	0.117106
GENE035	0.840533	0.247341
GENE036	-0.236224	0.80636
GENE037	-0.151613	0.451047
GENE038	-2.33965	0.876818
GENE039	0.277998	0.601664
GENE040	0.328257	0.789545
GENE041	1.05826	0.187403
GENE042	-0.292057	0.316222
GENE043	0.0564925	0.376706
GENE044	-0.423317	0.494199
GENE045	-0.705754	0.472467
GENE046	0.572135	1
GENE047	-0.206999	0.173191
GENE048	1.81326	1
GENE049	0.00132696	0.889046
GENE050	-0.474327	0.075519
GENE051	1.08513	0.40939
GENE052	0.130543	0.292753
GENE053	0.594261	0.800745
GENE054	0.68594	0.970449
GENE055	-0.133009	0.471409
GENE056	-0.128127	0.781305
GENE057	0.39904	0.475425
GENE058	0.19694	0.529874
GENE059	1.21675	0.76608
GENE060	0.775736	0.380901
GENE061	1.2722	0.643573
GENE062	-0.014096	0.694364
GENE063	-0.436917	0.419919
GENE064	1.73938	1
GENE065	0.179001	0.458861
GENE066	0.994085	1
GENE067	0.26472	0.0305321
GENE068	0.432629	0.0661103
GENE069	0.574921	0.427816
GENE070	-0.17424	0.665945
GENE071	0.0857482	0.220233
GENE072	-0.326375	0.57642
GENE073	-0.0800709	0.795366
GENE074	0.778723	0.331814
GENE075	-0.580692	0.245677
GENE076	1.156	0.725409
GENE077	1.12761	0.475898
GENE078	-1.02806	0.14921
GENE079	-0.0846136	0.0874451
GENE080	0.205615	0.737168
GENE081	-0.456523	0.860412
GENE082	-0.444648	0.890362
GENE083	-0.142449	0.510089
GENE084	0.443507	0.153455
GENE085	-0.3068	0.225657
GENE086	1.09602	0.453524
GENE087	0.173984	0.851857
GENE088	0.938455	1
GENE089	0.869556	0.274207
GENE090	0.375769	0.755939
GENE091	0.221572	0.43544
GENE092	0.801316	1
GENE093	1.08839	0.428727
GENE094	0.487093	0.837196
GENE095	-0.122047	0.0145416
GENE096	0.0536805	1
GENE097	0.223771	0.398478
GENE098	-0.686244	0.499009
GENE099	-1.02957	0.198826
GENE100	-0.167491	0.929512
GENE101	1.16888	0.599645
GENE102	0.769489	0.561587
GENE103	0.169471	0.597346
GENE104	1.48361	1
GENE105	-0.73553	0.466667
GENE106	-0.0135193	0.829891
GENE107	0.0745268	0.523897
GENE108	1.51735	1
GENE109	0.0696364	0.716608
GENE110	0.482447	0.912105
GENE111	0.69748	1
GENE112	0.214773	0.802246
GENE113	1.24892	0.522368
GENE114	-0.749865	0.124429
GENE115	0.105323	0.616242
GENE116	-0.192218	0.271207
GENE117	-0.142453	0.785152
GENE118	0.575044	0.173828
GENE119	0.782885	1
GENE120	-0.511434	0.854498
GENE121	-0.22639	0.132805
GENE122	0.0829202	0.516835
GENE123	0.904746	0.395013
GENE124	0.90044	1
GENE125	1.28344	0.864992
GENE126	0.824148	0.730809
GENE127	1.32013	0.966104
GENE128	1.64114	1
GENE129	0.714094	0.819633
GENE130	0.46263	0.987671
GENE131	-0.0347856	0.415439
GENE132	0.644647	0.182669
GENE133	-0.602136	0.782081
GENE134	0.532265	0.671719
GENE135	0.761239	0.565755
GENE136	-0.11765	0.646015
GENE137	-0.215376	0.199677
GENE138	0.0465435	0.0344069
GENE139	-0.413698	0.987033
GENE140	0.799165	0.81739
GENE141	-0.749498	0.123705
GENE142	-0.0903588	0.847969
GENE143	1.20817	0.65813
GENE144	-0.0626682	0.247285
GENE145	-0.481373	0.772616
GENE146	0.478966	1
GENE147	0.255237	0.845957
GENE148	-0.618288	0.136652
GENE149	0.387746	0.747586
