gene	dev_expr
GENE000	-0.454582
GENE001	-0.248856
GENE002	-0.147249
GENE003	-0.675929
GENE004	0.975484
GENE005	0.407247
GENE006	-1.53397
GENE007	-0.477462
GENE008	-0.536351
GENE009	-0.552755
GENE010	-1.15751
GENE011	1.30351
GENE012	-0.316691
GENE013	1.07452
GENE014	0.421405
GENE015	1.80036
GENE016	-1.4519
GENE017	1.39088
GENE018	1.71505
GENE019	0.458453
GENE020	2.60687
GENE021	0.863983
GENE022	0.657183
GENE023	-0.590731
GENE024	0.907486
GENE025	0.134261
GENE026	-0.36096
GENE027	1.69355
GENE028	-0.24384
GENE029	0.00708906
GENE030	-0.157824
GENE031	-0.604537
GENE032	1.12502
GENE033	0.590728
GENE034	0.283498
GENE035	-1.88846
GENE036	0.806398
GENE037	-0.280191
GENE038	-0.973059
GENE039	0.482625
GENE040	0.45028
GENE041	-0.834459
GENE042	1.97795
GENE043	-0.967701
GENE044	-1.3864
GENE045	-0.923337
GENE046	1.83664
GENE047	-0.140685
GENE048	0.402355
GENE049	-0.0497262
GENE050	-0.477291
GENE051	0.147789
GENE052	-0.512972
GENE053	1.26636
GENE054	0.816365
GENE055	-0.144074
GENE056	0.191382
GENE057	0.630566
GENE058	-0.165402
GENE059	0.297947
GENE060	-0.830451
GENE061	-0.332823
GENE062	0.78149
GENE063	-0.588906
GENE064	1.2049
GENE065	-0.0235375
GENE066	1.0301
GENE067	-0.233826
GENE068	-0.507998
GENE069	0.627461
GENE070	-0.0039969
GENE071	-0.564684
GENE072	0.341276
GENE073	0.597276
GENE074	0.126466
GENE075	1.37079
GENE076	-0.505871
GENE077	0.416477
GENE078	-0.326988
GENE079	0.187704
GENE080	-0.663959
GENE081	0.892099
GENE082	0.140817
GENE083	0.953796
GENE084	-1.01288
GENE085	-0.394812
GENE086	-0.714053
GENE087	-0.425553
GENE088	0.145912
GENE089	-0.0964327
GENE090	-0.0137977
GENE091	-0.0327879
GENE092	0.255581
GENE093	0.14994
GENE094	0.700492
GENE095	-0.72182
GENE096	0.700711
GENE097	-0.0592567
GENE098	0.374684
GENE099	-0.0510869
GENE100	-0.0125318
GENE101	-0.0928766
GENE102	0.0173631
GENE103	-0.737508
GENE104	1.11256
GENE105	-0.0825751
GENE106	0.0318867
GENE107	-0.712952
GENE108	1.34301
GENE109	0.553851
GENE110	0.689219
GENE111	2.48191
GENE112	-0.0420155
GENE113	1.66272
GENE114	-0.0990622
GENE115	0.31527
GENE116	0.29227
GENE117	0.911673
GENE118	0.526605
GENE119	0.456851
GENE120	0.0327458
GENE121	0.428248
GENE122	1.39828
GENE123	-0.673885
GENE124	-0.744906
GENE125	0.312732
GENE126	0.0719427
GENE127	0.839982
GENE128	0.773774
GENE129	1.64623
GENE130	0.78084
GENE131	-0.0394143
GENE132	-0.375638
GENE133	-0.276807
GENE134	0.414957
GENE135	-0.18048
GENE136	-1.25812
GENE137	-0.368833
GENE138	-0.339904
GENE139	-0.151104
GENE140	-0.20344
GENE141	0.537606
GENE142	-0.425555
GENE143	0.349138
GENE144	0.433551
GENE145	-0.188252
GENE146	0.873164
GENE147	0.535469
GENE148	0.337576
GENE149	0.20013
